Price,Address,Rent Estimate,Beds,Baths,Sq. Ft,Home Type
"$527,947","4th St Ne Apt 2, Washington, DC 20002",$1920/m Estimated Rental Value,2 bed,2 bath,"1,061 sqft.",
,"Trenton Pl Se, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Marietta Pl Nw, Washington, DC 20011",*Rental Value Coming Soon,1 bed,1 bath,,Condo
,"South St Nw, Washington, DC 20009",*Rental Value Coming Soon,,,,Townhome
,"Pennsylvania Ave Nw, Washington, DC 20004",*Rental Value Coming Soon,,,0 sqft.,
,"New Jersey Ave Se, Washington, DC 20003",*Rental Value Coming Soon,,,0 sqft.,Condo
,"N St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,0 sqft.,
"$631,803","C St Ne, Washington, DC 20002",$2400/m Estimated Rental Value,3 bed,1 bath,"1,224 sqft.",Single-Family
"$623,818","Hamlin St Ne, Washington, DC 20017",$1870/m Estimated Rental Value,3 bed,1.5 bath,"1,284 sqft.",Townhome
,"Georgia Ave Nw # P1, Washington, DC 20010",*Rental Value Coming Soon,,,,Multi-Family
"$336,495","Cathedral Ave Nw Apt 503w, Washington, DC 20016",$2060/m Estimated Rental Value,1 bed,1 bath,,Condo
,"Summit Ct Ne, Washington, DC 20018",*Rental Value Coming Soon,2 bed,2 bath,,Condo
"$414,000","Newcomb St Se, Washington, DC 20032",$1780/m Estimated Rental Value,8 bed,4 bath,"2,880 sqft.",Multi-Family
"$387,087","13th St Nw Apt 414, Washington, DC 20005",$2080/m Estimated Rental Value,1 bed,1 bath,637 sqft.,Condo
"$328,900","Lamont St Nw Apt 3a, Washington, DC 20010",$1920/m Estimated Rental Value,1 bed,1 bath,525 sqft.,Condo
,"Suitland Rd Se # S, Washington, DC 20020",*Rental Value Coming Soon,2 bed,1 bath,850 sqft.,Condo
"$313,313","17th St Se, Washington, DC 20020",$1520/m Estimated Rental Value,3 bed,2 bath,902 sqft.,Townhome
"$681,000","Maryland Ave Ne, Washington, DC 20002",$2310/m Estimated Rental Value,3 bed,2 bath,"1,400 sqft.",Multi-Family
"$322,910","Downing Pl Ne Apt 1, Washington, DC 20018",*Rental Value Coming Soon,2 bed,1 bath,606 sqft.,Condo
"$1,002,253","13th St Nw, Washington, DC 20012",$3660/m Estimated Rental Value,4 bed,4 bath,"2,404 sqft.",Single-Family
"$414,377","Alabama Ave Se, Washington, DC 20020",$2070/m Estimated Rental Value,3 bed,1 bath,"1,164 sqft.",Single-Family
