Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
1043000,"Q St Nw, Washington, DC 20001",2710,4,3,1653,MF,Q St Nw,Washington,DC,20001
335387,"H St Se, Washington, DC 20019",1880,3,1,1064,SF,H St Se,Washington,DC,20019
639000,"K St Nw, Washington, DC 20001",2770,4,3,1360,MF,K St Nw,Washington,DC,20001
719475,"Park Rd Nw, Washington, DC 20010",2630,3,2.5,1336,SF,Park Rd Nw,Washington,DC,20010
128690,"Ash St, Rock Springs, WY 82901",1010,2,1,925,SF,Ash St,Rock Springs,WY,82901
412879,"Baker St Ne, Washington, DC 20019",1420,2,1,884,SF,Baker St Ne,Washington,DC,20019
658000,"Longfellow St Nw, Washington, DC 20011",2440,4,2,1440,MF,Longfellow St Nw,Washington,DC,20011
148104,"Lincoln Ave, Rock Springs, WY 82901",1181,3,2,864,SF,Lincoln Ave,Rock Springs,WY,82901
886051,"4th St Nw, Washington, DC 20011",2440,4,2,1660,SF,4th St Nw,Washington,DC,20011
838513,"Duncan St Ne, Washington, DC 20002",2670,3,1,1472,Townhome,Duncan St Ne,Washington,DC,20002
434875,"Wahler Pl Se, Washington, DC 20032",1390,3,3,1408,Townhome,Wahler Pl Se,Washington,DC,20032
273785,"Quadrant Dr, Rock Springs, WY 82901",1378,2,1,2020,SF,Quadrant Dr,Rock Springs,WY,82901
724429,"7th St Ne, Washington, DC 20017",2480,3,3,1982,SF,7th St Ne,Washington,DC,20017
241251,"Peak St, Gillette, WY 82716",1211,3,2,2016,SF,Peak St,Gillette,WY,82716
207353,"Peak Ct, Gillette, WY 82716",1072,3,2,1408,SF,Peak Ct,Gillette,WY,82716
865730,"Monroe St Nw, Washington, DC 20010",3110,8,4,2639,Townhome,Monroe St Nw,Washington,DC,20010
84490,"M St, Rock Springs, WY 82901",860,2,1,652,SF,M St,Rock Springs,WY,82901
528771,"14th St Ne, Washington, DC 20018",2130,3,1.5,1056,SF,14th St Ne,Washington,DC,20018
272859,"2nd St Se, Washington, DC 20032",1301,3,2,1836,Townhome,2nd St Se,Washington,DC,20032
1158000,"Chapin St Nw, Washington, DC 20009",3230,6,3.5,2706,MF,Chapin St Nw,Washington,DC,20009
181000,"N Lowell St, Casper, WY 82601",1010,3,1,1135,SF,N Lowell St,Casper,WY,82601
119170,"Thomas St, Rock Springs, WY 82901",860,2,1,968,SF,Thomas St,Rock Springs,WY,82901
225625,"Pine St, Rock Springs, WY 82901",1520,4,2,2156,SF,Pine St,Rock Springs,WY,82901
197191,"Gladstone St, Sheridan, WY 82801",1810,5,2,1304,SF,Gladstone St,Sheridan,WY,82801
575403,"Channing St Ne, Washington, DC 20018",2570,3,1.5,1159,SF,Channing St Ne,Washington,DC,20018
1212241,"Corcoran St Nw, Washington, DC 20009",3130,3,1,1708,SF,Corcoran St Nw,Washington,DC,20009
667103,"Otis St Ne, Washington, DC 20018",2890,4,2.5,1656,SF,Otis St Ne,Washington,DC,20018
101471,"Warren Ave, Gillette, WY 82716",820,3,1,904,SF,Warren Ave,Gillette,WY,82716
103020,"Center St, Rock Springs, WY 82901",973,2,1,803,SF,Center St,Rock Springs,WY,82901
358498,"Cascade St, Lander, WY 82520",1141,4,3,1056,SF,Cascade St,Lander,WY,82520
660921,"7th St Nw, Washington, DC 20011",2200,4,1,832,SF,7th St Nw,Washington,DC,20011
