Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
331863,"Carnation St, Woonsocket, RI 02895",1160,3,1,1143,SF,Carnation St,Woonsocket,RI,2895
388463,"Harrison St, Johnston, RI 02919",1640,3,2,1374,SF,Harrison St,Johnston,RI,2919
582261,"Bishop Hill Rd, Johnston, RI 02919",1980,3,2,2048,SF,Bishop Hill Rd,Johnston,RI,2919
413566,"E Greenwich Ave, West Warwick, RI 02893",1880,3,2,1998,SF,E Greenwich Ave,West Warwick,RI,2893
393205,"Paine Ave, Cranston, RI 02910",1480,3,1.5,1440,SF,Paine Ave,Cranston,RI,2910
680229,"Janet Dr, Johnston, RI 02919",1670,3,3.5,2274,SF,Janet Dr,Johnston,RI,2919
204885,"Glen Meadows Dr, Pawtucket, RI 02861",,3,1,1036,SF,Glen Meadows Dr,Pawtucket,RI,2861
475200,"Hillwood St, Cranston, RI 02920",1620,3,2,1078,SF,Hillwood St,Cranston,RI,2920
584236,"Foster Center Rd, Foster, RI 02825",1980,3,2.5,2033,SF,Foster Center Rd,Foster,RI,2825
372700,"Pine Hill Ave, Johnston, RI 02919",1291,4,2,1904,MF,Pine Hill Ave,Johnston,RI,2919
653342,"Fletcher Rd, North Kingstown, RI 02852",2530,4,2,2226,SF,Fletcher Rd,North Kingstown,RI,2852
225845,"Hazard St, Pawtucket, RI 02860",,4,1,1500,SF,Hazard St,Pawtucket,RI,2860
388859,"Old Carriage Rd, Coventry, RI 02816",1650,2,1,1092,SF,Old Carriage Rd,Coventry,RI,2816
321746,"Westwood Ave, Cranston, RI 02905",1610,3,1,1751,SF,Westwood Ave,Cranston,RI,2905
328029,"Bee St, Coventry, RI 02816",1480,3,1,1040,SF,Bee St,Coventry,RI,2816
488882,"Parrillo Cir, Johnston, RI 02919",1790,3,2,1215,SF,Parrillo Cir,Johnston,RI,2919
316997,"Haswill St, Warwick, RI 02889",1408,3,1,988,SF,Haswill St,Warwick,RI,2889
413454,"Exchange Rd, West Warwick, RI 02893",1970,3,1.5,1976,SF,Exchange Rd,West Warwick,RI,2893
323500,"Rhode Island Ave, Woonsocket, RI 02895",1640,6,2,2080,MF,Rhode Island Ave,Woonsocket,RI,2895
126905,"Ada St, Providence, RI 02909",,1,1,609,SF,Ada St,Providence,RI,2909
467600,"Hull St, Warwick, RI 02888",2060,6,2,1964,MF,Hull St,Warwick,RI,2888
325513,"Fiume St, West Warwick, RI 02893",1570,3,1,1342,SF,Fiume St,West Warwick,RI,2893
200601,"Carter Ave, Pawtucket, RI 02861",,4,1,1008,SF,Carter Ave,Pawtucket,RI,2861
178755,"Hazael St, Providence, RI 02908",,4,2,2288,MF,Hazael St,Providence,RI,2908
642900,"Shannon Rd, Exeter, RI 02822",2200,5,3.5,3550,SF,Shannon Rd,Exeter,RI,2822
445751,"Honeysuckle Rd, Warwick, RI 02888",2000,3,1,1966,SF,Honeysuckle Rd,Warwick,RI,2888
452683,"Oak Hill Ave, North Smithfield, RI 02896",1230,3,2,1991,SF,Oak Hill Ave,North Smithfield,RI,2896
203320,"Canal St, Westerly, RI 02891",,2,1.5,878,SF,Canal St,Westerly,RI,2891
194903,"Rodman St, Providence, RI 02907",,3,1.5,1254,SF,Rodman St,Providence,RI,2907
216304,"Lucy St, Providence, RI 02909",,4,1.5,1109,SF,Lucy St,Providence,RI,2909
353661,"Hornet Rd, North Kingstown, RI 02852",1680,3,1,1382,SF,Hornet Rd,North Kingstown,RI,2852
353502,"Cedar Swamp Rd, Warwick, RI 02889",1490,3,2,804,SF,Cedar Swamp Rd,Warwick,RI,2889
287158,"Massachusetts Ave, Warwick, RI 02888",1261,2,2,924,SF,Massachusetts Ave,Warwick,RI,2888
302867,"Madison St, Warwick, RI 02888",1440,2,1,1053,SF,Madison St,Warwick,RI,2888
439247,"Tanglewood Dr, Riverside, RI 02915",1820,3,1.5,1820,SF,Tanglewood Dr,Riverside,RI,2915
358697,"Woburn St, Cranston, RI 02910",1520,4,1.5,1535,SF,Woburn St,Cranston,RI,2910
345562,"Wheeler Ave, Cranston, RI 02905",1570,3,1,1174,SF,Wheeler Ave,Cranston,RI,2905
223975,"Tyndall Ave, Providence, RI 02908",,4,1,1271,SF,Tyndall Ave,Providence,RI,2908
981100,"New Meadow Rd, Barrington, RI 02806",2170,4,2,2762,MF,New Meadow Rd,Barrington,RI,2806
261348,"Isabella Ave, Providence, RI 02908",,3,1,1156,SF,Isabella Ave,Providence,RI,2908
251433,"Plainfield Pike, Coventry, RI 02827",1470,2,1,1020,SF,Plainfield Pike,Coventry,RI,2827
292001,"Logee St, Woonsocket, RI 02895",1160,4,1,1270,SF,Logee St,Woonsocket,RI,2895
426607,"Brown St, North Providence, RI 02904",1690,4,3,2714,SF,Brown St,North Providence,RI,2904
260462,"Edgemere Ave, Providence, RI 02909",,4,3,1328,SF,Edgemere Ave,Providence,RI,2909
699900,"Cook Rd, Cumberland, RI 02864",2070,4,2,2050,SF,Cook Rd,Cumberland,RI,2864
679068,"Jencks Rd, Cumberland, RI 02864",1460,3,2.5,2112,SF,Jencks Rd,Cumberland,RI,2864
197101,"Wendell St, North Providence, RI 02911",1620,3,1,1008,SF,Wendell St,North Providence,RI,2911
363193,"Wampanoag Trl, Riverside, RI 02915",1630,3,1,900,SF,Wampanoag Trl,Riverside,RI,2915
507005,"Beach Point Dr, Riverside, RI 02915",1830,3,2,1453,SF,Beach Point Dr,Riverside,RI,2915
