Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type
"$343,000","Grosvenor Ave, Pawtucket, RI 02860",*Rental Value Coming Soon,3 bed,2 bath,"1,967 sqft.",Single-Family
"$189,922","Ruth St, Pawtucket, RI 02861",*Rental Value Coming Soon,2 bed,1 bath,"1,176 sqft.",Single-Family
"$145,520","Bloomingdale Ave, Pawtucket, RI 02860",*Rental Value Coming Soon,2 bed,1 bath,672 sqft.,Single-Family
"$240,945","Grotto Ave, Pawtucket, RI 02860",*Rental Value Coming Soon,3 bed,1 bath,"1,440 sqft.",Single-Family
"$237,576","Revere St, Pawtucket, RI 02861",*Rental Value Coming Soon,2 bed,1 bath,"1,072 sqft.",Single-Family
"$185,956","Lloyd St, Pawtucket, RI 02860",*Rental Value Coming Soon,2 bed,1 bath,840 sqft.,Single-Family
"$203,798","Diana Dr, Pawtucket, RI 02861",*Rental Value Coming Soon,2 bed,2 bath,958 sqft.,Single-Family
,"Harrison St Apt 2, Pawtucket, RI 02860",*Rental Value Coming Soon,,,,
"$225,911","Suffolk Ave, Pawtucket, RI 02861",*Rental Value Coming Soon,,,,
"$245,310","Power Rd, Pawtucket, RI 02860",*Rental Value Coming Soon,2 bed,1 bath,"1,612 sqft.",Single-Family
"$206,097","Atwood Ave, Pawtucket, RI 02860",*Rental Value Coming Soon,3 bed,1 bath,"1,009 sqft.",Single-Family
"$204,885","Glen Meadows Dr, Pawtucket, RI 02861",*Rental Value Coming Soon,3 bed,1 bath,"1,036 sqft.",Single-Family
,"Broadway Apt 511, Pawtucket, RI 02860",*Rental Value Coming Soon,,,,
,"Central Ave, Pawtucket, RI 02861",*Rental Value Coming Soon,,,,
,"Evergreen St Apt 6, Pawtucket, RI 02861",*Rental Value Coming Soon,,,,
,"Armistice Blvd # 3, Pawtucket, RI 02860",*Rental Value Coming Soon,,,,
"$244,205","Garden St, Pawtucket, RI 02860",*Rental Value Coming Soon,6 bed,3 bath,"2,280 sqft.",Multi-Family
,"Cottage St Apt 7, Pawtucket, RI 02860",*Rental Value Coming Soon,,,,
,"Grand Ave, Pawtucket, RI 02861",*Rental Value Coming Soon,,,,
,"Webster St # 1, Pawtucket, RI 02861",*Rental Value Coming Soon,4 bed,2 bath,"2,399 sqft.",Multi-Family
"$200,601","Carter Ave, Pawtucket, RI 02861",*Rental Value Coming Soon,4 bed,1 bath,"1,008 sqft.",Single-Family
"$170,765","Grove St, Pawtucket, RI 02860",*Rental Value Coming Soon,2 bed,1.5 bath,964 sqft.,Condo
"$250,665","Mccabe Ave, Pawtucket, RI 02861",*Rental Value Coming Soon,3 bed,1.5 bath,"1,645 sqft.",Single-Family
"$242,335","Thomas Ave, Pawtucket, RI 02860",*Rental Value Coming Soon,6 bed,2 bath,"2,340 sqft.",Multi-Family
"$198,088","Glen Meadows Dr, Pawtucket, RI 02861",*Rental Value Coming Soon,3 bed,1 bath,936 sqft.,Single-Family
"$283,543","Maynard St, Pawtucket, RI 02860",*Rental Value Coming Soon,4 bed,1.5 bath,"2,464 sqft.",Single-Family
"$225,845","Hazard St, Pawtucket, RI 02860",*Rental Value Coming Soon,4 bed,1 bath,"1,500 sqft.",Single-Family
,"Parkview Dr Apt 14, Pawtucket, RI 02861",*Rental Value Coming Soon,,,,
"$244,545","Chaplin St, Pawtucket, RI 02861",*Rental Value Coming Soon,4 bed,2 bath,"2,122 sqft.",Multi-Family
"$341,081","Bellmore Dr, Pawtucket, RI 02861",*Rental Value Coming Soon,3 bed,1.5 bath,"1,400 sqft.",Single-Family
,"Capital St # 1, Pawtucket, RI 02860",*Rental Value Coming Soon,6 bed,5 bath,"4,554 sqft.",Multi-Family
"$274,720","Avon St, Pawtucket, RI 02860",*Rental Value Coming Soon,4 bed,2 bath,"1,728 sqft.",Single-Family
"$213,238","Windsor Rd, Pawtucket, RI 02861",*Rental Value Coming Soon,3 bed,1 bath,"1,092 sqft.",Single-Family
,"Rhode Island Ave, Pawtucket, RI 02860",*Rental Value Coming Soon,,,,
"$212,926","Oakdale Ave, Pawtucket, RI 02860",*Rental Value Coming Soon,4 bed,1.5 bath,"1,324 sqft.",Single-Family
,"Madison St # 2, Pawtucket, RI 02861",*Rental Value Coming Soon,,,,Single-Family
,"Ashton St, Pawtucket, RI 02860",*Rental Value Coming Soon,,,,
"$189,922","Ruth St, Pawtucket, RI 02861",*Rental Value Coming Soon,2 bed,1 bath,876 sqft.,Single-Family
,"Mineral Spring Ave Apt..., Pawtucket, RI 02860",*Rental Value Coming Soon,,,,
"$247,860","Hartford Ave, Providence, RI 02909",*Rental Value Coming Soon,6 bed,2 bath,"2,496 sqft.",Multi-Family
"$225,000","Bowdoin St, Providence, RI 02909",$1530/m Estimated Rental Value,8 bed,4 bath,"3,570 sqft.",Multi-Family
"$194,903","Rodman St, Providence, RI 02907",*Rental Value Coming Soon,3 bed,1.5 bath,"1,254 sqft.",Single-Family
"$280,000","Orms St, Providence, RI 02908",$1910/m Estimated Rental Value,9 bed,3 bath,"5,078 sqft.",Multi-Family
"$221,935","Bath St, Providence, RI 02908",*Rental Value Coming Soon,6 bed,3 bath,"2,288 sqft.",Multi-Family
"$309,570","Steele St, Providence, RI 02906",*Rental Value Coming Soon,,,,
"$256,870","Corinth St, Providence, RI 02907",*Rental Value Coming Soon,6 bed,3 bath,"3,210 sqft.",Multi-Family
,"Charles St # 2, North Providence, RI 02904",*Rental Value Coming Soon,4 bed,2.5 bath,"1,642 sqft.",Multi-Family
,"Camden Ave # 3, Providence, RI 02908",*Rental Value Coming Soon,,,,
,"Public St # 2f, Providence, RI 02905",*Rental Value Coming Soon,,,,
,"Gray St, Providence, RI 02909",*Rental Value Coming Soon,,,,
