Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type
,"Atlantic Street Se, Washington, DC 20032",*Rental Value Coming Soon,,,,Multi-Family
"$462,870","Carpenter St Se, Washington, DC 20020",$2130/m Estimated Rental Value,2 bed,2.5 bath,"1,391 sqft.",Single-Family
"$544,500","Massachusetts Ave Se, Washington, DC 20019",$2040/m Estimated Rental Value,4 bed,2.5 bath,"1,823 sqft.",Single-Family
,"Street Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,
"$702,900","Pleasant St Se, Washington, DC 20020",$1670/m Estimated Rental Value,3 bed,1 bath,"2,016 sqft.",Single-Family
,"Dubois Place Se, Washington, DC 20019",*Rental Value Coming Soon,4 bed,4 bath,"2,584 sqft.",Multi-Family
,"Brentwood Road Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,
,"Kennedy Street, Nw, Washington, DC 20011",*Rental Value Coming Soon,,,,Commercial
,"Parkland Place Se, Washington, DC 20032",*Rental Value Coming Soon,,,,
"$738,400","Rock Creek Church Rd Nw, Washington, DC 20010",$3020/m Estimated Rental Value,6 bed,4 bath,,Single-Family
"$540,800","Fort Lincoln Dr Ne, Washington, DC 20018",$2380/m Estimated Rental Value,4 bed,3 bath,,Condo
,"25th St 1a, Washington, DC 20037",*Rental Value Coming Soon,,,,
"$1,945,455","Pennsylvania Ave Nw Ap..., Washington, DC 20037",$3600/m Estimated Rental Value,,,,Condo
"$273,000","Astor Pl Se, Washington, DC 20019",$1408/m Estimated Rental Value,4 bed,4 bath,"2,516 sqft.",Multi-Family
"$873,333","Dubois Pl Se, Washington, DC 20019",$1660/m Estimated Rental Value,4 bed,4 bath,"2,584 sqft.",Multi-Family
"$676,833","Atlantic St Se, Washington, DC 20032",$1720/m Estimated Rental Value,,,,Multi-Family
,"Kennedy St Nw, Washington, DC 20011",*Rental Value Coming Soon,,,,Commercial
"$589,500","Parkland Pl Se, Washington, DC 20032",$1770/m Estimated Rental Value,,,,
,"Brentwood Rd Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,Single-Family
"$886,051","4th St Nw, Washington, DC 20011",$2440/m Estimated Rental Value,4 bed,2 bath,"1,660 sqft.",Single-Family
"$471,437","T St Se, Washington, DC 20020",$1580/m Estimated Rental Value,3 bed,1.5 bath,"1,080 sqft.",Single-Family
"$427,770","Calvert St Nw Apt 402, Washington, DC 20009",$2240/m Estimated Rental Value,1 bed,1 bath,747 sqft.,Condo
"$565,920","Georgia Ave Nw Apt 111, Washington, DC 20012",$1920/m Estimated Rental Value,2 bed,1 bath,944 sqft.,Condo
"$594,827","12th St Nw, Washington, DC 20011",$2380/m Estimated Rental Value,4 bed,2 bath,"1,620 sqft.",Single-Family
"$647,857","Oneida Pl Nw, Washington, DC 20011",$2780/m Estimated Rental Value,3 bed,1 bath,"1,730 sqft.",Single-Family
,"Patricia Roberts Harri..., Washington, DC 20018",*Rental Value Coming Soon,,,,Townhome
"$801,900","Hamilton St Nw, Washington, DC 20011",$3260/m Estimated Rental Value,4 bed,2.5 bath,"2,999 sqft.",Single-Family
"$707,642","14th Pl Ne, Washington, DC 20002",$2650/m Estimated Rental Value,3 bed,1.5 bath,"1,188 sqft.",Townhome
"$672,871","21st St Ne, Washington, DC 20002",$1800/m Estimated Rental Value,3 bed,1.5 bath,"1,330 sqft.",Single-Family
,"Tunlaw Rd Nw Apt B3, Washington, DC 20007",*Rental Value Coming Soon,,,,
,"Center St Nw Apt 28, Washington, DC 20010",*Rental Value Coming Soon,,,,
"$283,000","27th St Se, Washington, DC 20020",$2180/m Estimated Rental Value,,,,
"$772,269","5th St Nw, Washington, DC 20011",$2220/m Estimated Rental Value,2 bed,1 bath,"1,440 sqft.",Single-Family
"$972,000","Corcoran St Nw, Washington, DC 20009",$3700/m Estimated Rental Value,6 bed,5 bath,"2,445 sqft.",Multi-Family
,"Park Rd Nw Apt 319, Washington, DC 20010",*Rental Value Coming Soon,,,,
"$273,000","Congress St Se, Washington, DC 20032",$1398/m Estimated Rental Value,,,,
"$308,160","Lenfant Sq Se, Washington, DC 20020",$1590/m Estimated Rental Value,3 bed,1.5 bath,"1,360 sqft.",Single-Family
"$435,924","Jay St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1.5 bath,"1,632 sqft.",Single-Family
"$633,600","9th St Nw, Washington, DC 20011",$2280/m Estimated Rental Value,,,,Townhome
"$1,089,920","Holly St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,1 bath,"1,704 sqft.",Single-Family
"$794,268","3rd St Nw, Washington, DC 20011",$2710/m Estimated Rental Value,,,,Single-Family
"$698,579","17th Pl Se, Washington, DC 20020",$1740/m Estimated Rental Value,4 bed,4 bath,"2,720 sqft.",Multi-Family
"$516,382","Woodcrest Dr Se, Washington, DC 20032",$1390/m Estimated Rental Value,3 bed,3 bath,"1,496 sqft.",Townhome
"$836,381","G St Ne, Washington, DC 20002",$2710/m Estimated Rental Value,3 bed,3 bath,"1,412 sqft.",Single-Family
"$97,926","Call Pl Se Apt 303, Washington, DC 20019",$1388/m Estimated Rental Value,1 bed,1 bath,704 sqft.,Condo
"$500,330","30th St Ne, Washington, DC 20018",$2360/m Estimated Rental Value,3 bed,3 bath,"1,664 sqft.",Single-Family
,"L St Se, Washington, DC 20003",*Rental Value Coming Soon,2 bed,1 bath,0 sqft.,Commercial
,"New York Ave Nw, Washington, DC 20532",*Rental Value Coming Soon,,,0 sqft.,
"$451,000","Webster St Ne, Washington, DC 20011",$1980/m Estimated Rental Value,4 bed,2 bath,"1,152 sqft.",Multi-Family
"$871,199","9th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,3 bath,"1,518 sqft.",Single-Family
"$654,000","N St Nw, Washington, DC 20001",$2770/m Estimated Rental Value,5 bed,3 bath,"1,604 sqft.",Multi-Family
,"Corcoran Street Nw, Washington, DC 20009",*Rental Value Coming Soon,6 bed,5 bath,"2,445 sqft.",Multi-Family
,"3rd St Ne # 701, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"Rhode Island Ave Ne, #..., Washington, DC 20002",*Rental Value Coming Soon,,,,
,"7th St Ne, Washington, DC 20017",*Rental Value Coming Soon,,,,
"$486,212","Anacostia Rd Se, Washington, DC 20019",$1850/m Estimated Rental Value,4 bed,2 bath,"1,008 sqft.",Single-Family
,"L St Nw, Ste 100 Pmb 444, Washington, DC 20005",*Rental Value Coming Soon,,,,
"$786,176","Hillside Rd Se, Washington, DC 20019",$1660/m Estimated Rental Value,,,,Multi-Family
"$354,000","17th St Se, Washington, DC 20020",$1740/m Estimated Rental Value,,,,Multi-Family
,"Georgia Ave Nw # C1, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$411,840","Blakney Ln Se, Washington, DC 20032",$1398/m Estimated Rental Value,3 bed,2.5 bath,"1,080 sqft.",Townhome
"$575,403","Channing St Ne, Washington, DC 20018",$2570/m Estimated Rental Value,3 bed,1.5 bath,"1,159 sqft.",Single-Family
"$579,439","4th St Ne Apt 2, Washington, DC 20002",$1920/m Estimated Rental Value,2 bed,2 bath,"1,061 sqft.",
,"Trenton Pl Se, Washington, DC 20032",*Rental Value Coming Soon,3 bed,3.5 bath,"1,664 sqft.",Single-Family
,"Marietta Pl Nw, Washington, DC 20011",*Rental Value Coming Soon,1 bed,1 bath,,Condo
"$631,803","C St Ne, Washington, DC 20002",$2400/m Estimated Rental Value,3 bed,1 bath,"1,224 sqft.",Single-Family
